STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
09,110,510400,5614,+41.775100,-072.626373
09,110,510500,3139,+41.764079,-072.609672
09,110,510600,5051,+41.756759,-072.636555
09,110,510700,4915,+41.739656,-072.618802
09,110,510800,3110,+41.733384,-072.631087
09,110,510900,3699,+41.736166,-072.588257
09,110,511000,3581,+41.747899,-072.589629
09,110,511100,3742,+41.761733,-072.591367
09,110,511200,3455,+41.777298,-072.590970
09,110,511300,3542,+41.782649,-072.597967
09,110,511400,2421,+41.793371,-072.604165
09,110,514101,3160,+41.803103,-072.490939
09,110,514103,4038,+41.800730,-072.547336
09,110,514104,4244,+41.806561,-072.520951
09,110,514200,3382,+41.796817,-072.531463
09,110,514300,4363,+41.786063,-072.513481
09,110,514400,4899,+41.783533,-072.526812
09,110,514500,4481,+41.779650,-072.545242
09,110,514600,5258,+41.769093,-072.541756
09,110,514700,4403,+41.769901,-072.523136
09,110,514800,3577,+41.770382,-072.511177
09,110,514900,2987,+41.789343,-072.496927
09,110,515000,2899,+41.776164,-072.495657
09,110,515101,2525,+41.759771,-072.537765
09,110,515102,6054,+41.758151,-072.557281
09,110,515200,3443,+41.756325,-072.496699
09,110,520100,5668,+41.722962,-072.552403
09,110,520201,3883,+41.713721,-072.499536
09,110,520202,4253,+41.675615,-072.530669
09,110,520301,4732,+41.722310,-072.589733
09,110,520302,4467,+41.712258,-072.602128
09,110,520400,7794,+41.689677,-072.584492
09,110,520501,4362,+41.660711,-072.593863
09,110,524100,6133,+41.639884,-072.459436
09,110,524200,6658,+41.659786,-072.661095
09,110,524300,5329,+42.021555,-072.535189
09,110,524400,3157,+41.795238,-072.670663
09,110,524501,3422,+41.760450,-072.712345
09,110,524502,2229,+41.776485,-072.709477
09,110,524600,3198,+41.772692,-072.690583
09,110,524700,3402,+41.731900,-072.709526
09,110,526101,4418,+41.632694,-072.363284
09,110,526102,4680,+41.684369,-072.403465
09,110,528100,3151,+41.735297,-072.376732
09,110,529100,4858,+41.766602,-072.438343
09,110,530100,2286,+41.865130,-072.437333
09,110,530200,6259,+41.864030,-072.454428
09,110,530301,5532,+41.860450,-072.480487
09,110,530302,6240,+41.840815,-072.485001
09,110,530400,4118,+41.850323,-072.448341
09,110,530500,3236,+41.817646,-072.481064
09,110,530600,2544,+41.818925,-072.448712
09,110,533102,5562,+41.849062,-072.362067
09,110,533103,4026,+41.881089,-072.399559
09,110,533104,4975,+41.898991,-072.347312
09,110,535101,5533,+41.878891,-072.490646
09,110,535102,4153,+41.928456,-072.475034
09,110,535200,6740,+41.903937,-072.428984
09,110,538100,1300,+42.022119,-072.496960
09,110,538201,5007,+41.993259,-072.474589
09,110,538202,3948,+41.996544,-072.430530
09,110,840100,5566,+41.877172,-072.270287
09,110,850100,5586,+41.806691,-072.369251
09,110,850200,6649,+41.769120,-072.312911
09,110,860100,5272,+41.697842,-072.307402
09,110,881100,4977,+41.794568,-072.209439
09,110,881200,9522,+41.808076,-072.252674
09,110,881300,5349,+41.812298,-072.273759
09,110,881500,6044,+41.759505,-072.235735
09,110,890100,3696,+41.958280,-072.307070
09,110,890202,4949,+41.982740,-072.343865
09,110,890204,2827,+41.976164,-072.270981
09,110,980001,0,+41.934990,-072.698309
09,110,980002,0,+41.936563,-072.680199
09,110,980003,0,+41.950672,-072.673108
09,110,980100,889,+41.793458,-072.661305
09,120,060100,4551,+41.213928,-073.241492
09,120,060200,4211,+41.198405,-073.249921
09,120,060300,3986,+41.198321,-073.271137
09,120,060400,4494,+41.184401,-073.304946
09,120,060500,3092,+41.153889,-073.285809
09,120,060600,2235,+41.138075,-073.286502
09,120,060700,8087,+41.157933,-073.261691
09,120,060800,2089,+41.159784,-073.247764
09,120,060900,2546,+41.171161,-073.250733
09,120,061000,4060,+41.183211,-073.245164
09,120,061100,3826,+41.194905,-073.226696
09,120,061200,2342,+41.180781,-073.228849
09,120,061300,3031,+41.174489,-073.236294
09,120,061400,3004,+41.166717,-073.235585
09,120,061500,4936,+41.142441,-073.243990
09,120,061600,5022,+41.132915,-073.261702
09,120,070100,5178,+41.155154,-073.227421
09,120,070200,3984,+41.161729,-073.221830
09,120,070300,1359,+41.161521,-073.214208
09,120,070400,1712,+41.164632,-073.194954
09,120,070500,1684,+41.167374,-073.192801
09,120,070600,2795,+41.176246,-073.192278
09,120,070900,2792,+41.171074,-073.200949
09,120,071000,3850,+41.172613,-073.215064
09,120,071100,4623,+41.175899,-073.210765
09,120,071200,5302,+41.177403,-073.204900
09,120,071300,3547,+41.179495,-073.200169
09,120,071400,3876,+41.185573,-073.199752
09,120,071600,2514,+41.183594,-073.195741
09,120,071900,4714,+41.193922,-073.202178
09,120,072000,3699,+41.190028,-073.207101
09,120,072100,6399,+41.185151,-073.214802
09,120,072200,3944,+41.197254,-073.214148
09,120,072300,5404,+41.201775,-073.208359
09,120,072400,2833,+41.209036,-073.203679
09,120,072500,5843,+41.209549,-073.217673
09,120,072600,7746,+41.219198,-073.227933
09,120,072700,3849,+41.220363,-073.208325
09,120,072800,5722,+41.217315,-073.196842
09,120,072900,4849,+41.214593,-073.190582
09,120,073000,1998,+41.213175,-073.177387
09,120,073100,4666,+41.213324,-073.171758
09,120,073200,3765,+41.200023,-073.160612
09,120,073300,3430,+41.195568,-073.163419
09,120,073400,3882,+41.201497,-073.180820
09,120,073500,3613,+41.195121,-073.183509
09,120,073600,2318,+41.193953,-073.178348
09,120,073700,5173,+41.190542,-073.163323
09,120,073800,2375,+41.189488,-073.177402
09,120,073900,3542,+41.188601,-073.184411
09,120,074000,2262,+41.182401,-073.178556
09,120,074300,4652,+41.181760,-073.164156
09,120,074400,4673,+41.175863,-073.164221
09,120,080100,4998,+41.197673,-073.150275
09,120,080200,4446,+41.189257,-073.146889
09,120,080400,6073,+41.177438,-073.138535
09,120,080500,3107,+41.155071,-073.121471
09,120,080600,2533,+41.183647,-073.130434
09,120,080700,1980,+41.194478,-073.127276
09,120,080800,4929,+41.209915,-073.122902
09,120,080900,4897,+41.203743,-073.139624
09,120,081000,4359,+41.214025,-073.153320
09,120,081100,4767,+41.221470,-073.141071
09,120,081200,5247,+41.226372,-073.127017
09,120,081300,5019,+41.252254,-073.116932
09,120,090100,3305,+41.279679,-073.254164
09,120,090200,8152,+41.266702,-073.229909
09,120,090300,4681,+41.239525,-073.230423
09,120,090400,6714,+41.237822,-073.203662
09,120,090500,4814,+41.239044,-073.168347
09,120,090600,3578,+41.257797,-073.173377
09,120,090700,5583,+41.279116,-073.202381
